Category: All categories

Month,Obama: (United States)
2004-01,<1
2004-02,<1
2004-03,1
2004-04,<1
2004-05,<1
2004-06,1
2004-07,5
2004-08,2
2004-09,1
2004-10,1
2004-11,2
2004-12,<1
2005-01,1
2005-02,1
2005-03,<1
2005-04,<1
2005-05,<1
2005-06,<1
2005-07,<1
2005-08,<1
2005-09,1
2005-10,<1
2005-11,<1
2005-12,<1
2006-01,<1
2006-02,1
2006-03,<1
2006-04,<1
2006-05,<1
2006-06,<1
2006-07,<1
2006-08,<1
2006-09,1
2006-10,3
2006-11,2
2006-12,3
2007-01,6
2007-02,7
2007-03,4
2007-04,4
2007-05,3
2007-06,3
2007-07,4
2007-08,3
2007-09,3
2007-10,4
2007-11,4
2007-12,6
2008-01,27
2008-02,47
2008-03,29
2008-04,19
2008-05,20
2008-06,27
2008-07,21
2008-08,38
2008-09,51
2008-10,90
2008-11,100
2008-12,23
2009-01,62
2009-02,32
2009-03,27
2009-04,23
2009-05,16
2009-06,18
2009-07,18
2009-08,18
2009-09,26
2009-10,19
2009-11,16
2009-12,14
2010-01,15
2010-02,12
2010-03,14
2010-04,13
2010-05,12
2010-06,11
2010-07,10
2010-08,10
2010-09,10
2010-10,10
2010-11,11
2010-12,8
2011-01,11
2011-02,10
2011-03,9
2011-04,14
2011-05,18
2011-06,8
2011-07,9
2011-08,10
2011-09,12
2011-10,10
2011-11,9
2011-12,9
2012-01,14
2012-02,13
2012-03,14
2012-04,13
2012-05,14
2012-06,14
2012-07,14
2012-08,18
2012-09,33
2012-10,42
2012-11,48
2012-12,13
2013-01,19
2013-02,13
2013-03,11
2013-04,11
2013-05,9
2013-06,8
2013-07,9
2013-08,9
2013-09,11
2013-10,14
2013-11,11
2013-12,11
2014-01,10
2014-02,10
2014-03,12
2014-04,8
2014-05,8
2014-06,9
2014-07,9
2014-08,9
2014-09,10
2014-10,9
2014-11,13
2014-12,10
2015-01,10
2015-02,10
2015-03,10
2015-04,8
2015-05,7
2015-06,9
2015-07,9
2015-08,7
2015-09,9
2015-10,8
2015-11,10
2015-12,10
2016-01,12
2016-02,11
2016-03,12
2016-04,7
2016-05,11
2016-06,10
2016-07,16
2016-08,11
2016-09,11
2016-10,13
2016-11,25
2016-12,12
2017-01,32
2017-02,12
2017-03,9
2017-04,7
2017-05,7
2017-06,5
2017-07,5
2017-08,6
2017-09,5
2017-10,5
2017-11,5
2017-12,5
2018-01,6
2018-02,9
2018-03,5
2018-04,5
2018-05,5
2018-06,6
2018-07,5
2018-08,5
2018-09,6
2018-10,5
2018-11,8
2018-12,8
2019-01,6
2019-02,7
2019-03,5
2019-04,4
2019-05,4
2019-06,4
2019-07,4
2019-08,5
2019-09,4
